id	name
5LHRHt1k9lMyONurDHEdrp	Tyga
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee
6LuN9FCkKOj5PcnpouEgny	Khalid
1nGRqM8VNcQOcFsOnhpInD	ATR Son Son
66lH4jAE7pqPlOlzUKbwA0	Miranda Lambert
5ZS223C6JyBfXasXxrRqOk	Jhené Aiko
1lmU3giNF3CSbkVSQmLpHQ	Surf Mesa
4ArPQ1Opcksbbf3CPwEjWE	Emilee
3Y7RZ31TRPVadSFVy1o8os	H.E.R.
0A0FS04o6zMoto8OKPsDwY	YG
0ErzCpIMyLcjPiwT4elrtZ	NLE Choppa
60rpJ9SgigSd16DOAG7GSa	Billy Ray Cyrus
7EQ0qTo7fWT7DPxmxtSYEc	Bastille
6nS5roXSAGhTGr34W6n7Et	Disclosure
20JZFwl6HVl6yg8a4H3ZqK	Panic! At The Disco
2cWZOOzeOm4WmBJRnD5R7I	Normani
20sxb77xiYeusSH8cVdatc	Meek Mill
4VIvfOurcf0vuLRxLkGnIG	Bradley Cooper
4Ga1P7PMIsmqEZqhYZQgDo	Lil Tecca
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset
5Rl15oVamLq7FbSb0NNBNy	5 Seconds of Summer
1sBkRIssrMs1AbVkOJbc7a	Rick Ross
31W5EY0aAly4Qieq6OFu6I	A Boogie Wit da Hoodie
6eYFryfcEu3QSq59D62wZQ	Brendon Urie
3Fl1V19tmjt57oBdxXKAjJ	Blueface
2RDOrhPqAM4jzTRCEb19qX	Sheck Wes
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane
3QSQFmccmX81fWCUSPTS7y	Dean Lewis
6oMuImdp5ZcFhWP0ESe6mG	Migos
540vIaP2JwjQb9dm3aArA4	DJ Snake
1i8SpTcr7yvPOmcqrbnVXY	Ozuna
0X2BH1fck6amBIoJhDVmmJ	Ellie Goulding
5fMUXHkw8R8eOP2RNVYEZX	Diplo
0HkcYmcjrBR3SCw9Ld5VZk	Calboy
40LHVA5BTQp9RxHOQ9JPYj	Lauren Daigle
4VMYDCV2IEDYJArk749S6m	Daddy Yankee
6jJ0s89eD6GaHleKKya26X	Katy Perry
3uZFBSsMiooimnprFL9jD1	Snow
37hAfseJWi0G3Scife12Il	City Girls
2HUwZ0kumzCSlhFcjFZfpp	Flipp Dinero
7cTXfwpe9peK0UE1bZyIWZ	Pinkfong
7meyrw7Or5DwteYxDJrkCM	YK Osiris
7HkdQ0gt53LP4zmHsL0nap	Ella Mai
7gZfnEnfiaHzxARJ2LeXrf	6ix9ine
6i392l38cR3uBPF0DbNs7S	Quality Control
4GvEc3ANtPPjt1ZJllr5Zl	Bazzi
5UjifI1TYefXWn9GdqDOHl	Social House
2qxJFvFYMEDqd7ui6kSAcq	Zedd
4lDBihdpMlOalxy1jkUbPl	Grey
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION
4TEJudQY2pXxVHPE3gD2EU	BlocBoy JB
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie
6fOMl44jA4Sp5b9PpYCkzz	NF
02kJSzxNuaWGqwubyUba0Z	G-Eazy
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky
3CbYyyd8wH3RT6t0jwpdzC	Murda Beatz
4kI8Ie27vjvonwaB2ePh8T	Portugal. The Man
5JZ7CnR6gTvEMKX4g70Amv	Lauv
3wyVrVrFCkukjdVIdirGVY	Lil Pump
3qBKjEOanahMxlRojwCzhI	Zacari
73sIBHcqh3Z3NyqHKZ7FOL	Childish Gambino
1tqhsYv8yBBdwANFNzHtcr	Lil Dicky
1pPmIToKXyGdsCF6LmqLmI	Rich The Kid
17lzZA2AlOHwCwFALHttmp	2 Chainz
0c173mlxpT3dSFRgMO8XPh	Big Sean
6S2OmqARrzebs0tKUEyXyp	Demi Lovato
1bqxdqvUtPWZri43cKHac8	MAX
3iri9nBFs9e4wN7PLIetAw	gnash
7CajNmpbOovFoOoasH2HaY	Calvin Harris
5dHt1vcEm9qb8fCyLcB3HL	A$AP Ferg
28ExwzUQsvgJooOI0X1mr3	Jay Rock
53KwLdlmrlCelAZMaLVZqU	James Blake
5hdhHgpxyniooUiQVaPxQ0	Nio Garcia
1fux65HMCBvfJHqlBc4Nno	Casper Magico
1TtXnWcUs0FCkaZDPGYHdf	Darell
1SupJlEpv7RS2tPNRaHViT	Nicky Jam
5wPoxI5si3eJsYYwyXV4Wi	N.E.R.D
2RdwBSPQiwcmiDo9kixcl8	Pharrell Williams
4xRYI6VqpkE3UwrDrAZL8L	Logic
2wUjUUtkb5lvLKcGKsKqsR	Alessia Cara
31TPClRtHm23RisEBtV3X7	Justin Timberlake
3grHWM9bx2E9vwJCdlRv9O	Kenny Chesney
0fiWOxhsBsQQvFDtxUQWo0	Brett Young
7iZtZyCzp3LItcw1wtPI3D	Rae Sremmurd
7EEiVZvj6RCEtVX2F2pyxu	Slim Jxmmi
5gCRApTajqwbnHHPbr2Fpi	Juicy J
4RSyJzf7ef6Iu2rnLdabNq	Willy William
4V8Sr092TqfHkfAA5fXXqG	Luis Fonsi
69GGBxA162lTqCwzJG5jLp	The Chainsmokers
4gzpq5DPGxSnKTe4SA8HAU	Coldplay
4IWBUUAFIplrNtaOHcJPRM	James Arthur
6vXTefBL93Dj5IqAWq6OTv	French Montana
4tZwfgrHOc3mvqYlEYSvVi	Daft Punk
5ZsFI1h6hIdQRw2ti0hz81	ZAYN
23fqKkggKUBHNkbKtXEls4	Kygo
4qBgvVog0wzW75IQ48mU7v	KYLE
6icQOAFXDZKsumw3YXyusw	Lil Yachty
1Hsdzj7Dlq2I7tHP7501T4	Niall Horan
5pUo3fmmHT8bhCyHE52hA6	Liam Payne
6MDME20pz9RveH9rEXvrOM	Clean Bandit
3Isy6kedDrgPYoTS1dazA9	Sean Paul
6Ha4aES39QiVjR0L2lwuwq	Yo Gotti
3YQKmKGau1PzlVlkL1iodx	Twenty One Pilots
3Gm5F95VdRxW3mqCn8RPBJ	Aminé
27mFvqQj8KpjmdKIqcw1mG	Ayo & Teo
7nKeLE1toRtW4M279iS26h	Zay Hilfigerrr
5AsWcQXw4RJFRWBbwa0ti0	Zayion McCall
6LqNN22kT3074XbTVUrhzX	Kesha
5M0lbkGluOPXLeFjApw8r8	DRAM
2h93pZq0e7k5yf4dywlkpM	Frank Ocean
4A0TivfinfALCAMJqqjZIk	Funk Wav
1v3tdpIdBSW14rHUfiEVOv	Lauren Alaina
4ryoUS0W8qXokfMxrlJt6O	Skip Marley
50JJSqHUf2RQ9xsHs0KMHg	Jon Bellion
5p7f24Rk5HkUZsaS3BLG5F	Hailee Steinfeld
1xHQO9GJIW9OXHxGBISYc5	Marian Hill
7DMveApC7UnC2NPfPvlHSU	Cheat Codes
1dID9zgn0OV0Y8ud7Mh2tS	Dustin Lynch
5Berubt6ysOy2LCMyqhmXP	YFN Lucci
21WS9wngs9AqFckK7yYJPM	PnB Rock
6TK7fjRPdy2GW2pJzNF23L	Kyla
7pFeBzX627ff0VnN6bxPR4	Desiigner
6Dd3NScHWwnW6obMFbl1BH	Daya
5WUlDfRSoLAfcVSX1WnrxN	Sia
25u4wHJWxCA9vO0CzxAbK7	Lukas Graham
0jnsk9HBra6NMjO2oANoPY	Flo Rida
2KsP6tYLJlTBvSUxnwlVWa	Mike Posner
5iNrZmtVMtYev5M9yoWpEq	Seeb
1l8Fu6IkuTP0U5QetQJ5Xt	Fifth Harmony
6T5tfhQCknKG4UnH90qGnz	DNCE
738wLrAtLtCtFOLvQBXOXp	Major Lazer
0bdfiayQAKewqEvaU6rXCv	MØ
6jsjhAEteAlY0vCiLvMLBA	ROZES
1QRj3hoop9Mv5VvHQkwPEp	Olivia O'Brien
5y2Xq6xcjJb2jVM54GHK3t	John Legend
4EzkuveR9pLvDVFNx6foYD	James Bay
1Xylc3o4UrD53lo9CvFvVg	Zara Larsson
7uMh23xWiuR7zsNkuNcm2G	MNEK
3jHBxvZ9gbBkZ17wKUqVsO	Kent Jones
4u5smJBskI6Adzv08PuiUP	Kiiara
6PXS4YHDkKvl1wkIl4V8DL	Fetty Wap
2s0yxtiHiyGe6CY4mbDYFi	Remy Boyz
3KV3p5EY4AvKxOlhGHORLg	Jeremih
1gPhS1zisyXr5dHTYZyiMe	Kevin Gates
6nxWCVXbOlEVRexSbLsTer	Flume
6xHUXzrfhFgnIv86EBR3Ml	kai
3bhu7P5PfngueRHiB9hjcx	Elle King
4Rxn7Im3LGfyRkY2FlHhWi	Nick Jonas
4NHQUGzhtTLFvgF5SZesLK	Tove Lo
3NPpFNZtSTHheNBaWC82rB	X Ambassadors
137W8MRPWKqSmrBGDBFSop	Wiz Khalifa
2WzaAvm2bBCf4pEhyuDgCY	Ruth B.
0CjWKoS55T7DOt0HJuwF1H	Bipolar Sunshine
7bkdi7f1mxyYxWcBlwON4s	The Throne
3ScY9CQxNLQei8Umvpx5g6	Fat Joe
39mHYiNmLR7p8PXNG8Wll6	Remy Ma
